goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
1;2;0;30;63.83;27;51.92;1;50.0;19;0;77.3;57;57.58;1393;10;6;1;18;0;0;0;13;2;0;0;0;0;40;0;436;1;1;50.0;62;48.06;11;44;10;2;5;3;0;20.0;0;0;0.0;0;0;0;6.74;1393;Antonio Ceza;Palestino
0;1;0;45;58.44;24;61.54;11;45.83;31;1;72.94;69;59.48;1547;3;8;9;25;0;0;0;27;0;0;0;0;0;104;2;399;16;15;29.41;45;45.45;14;31;3;1;10;3;1;0.0;0;1;0.0;0;0;0;6.74;1547;Juan Pablo Gómez;Universidad de Chile
1;4;1;16;69.57;4;36.36;4;100.0;9;0;71.03;20;58.82;561;3;4;1;11;0;0;0;10;0;0;0;0;0;20;0;152;0;1;50.0;14;29.79;13;24;2;0;4;1;0;25.0;0;0;0.0;0;0;0;6.74;561;Ignacio Tapia;Universidad de Chile
0;3;0;31;51.67;3;37.5;2;50.0;28;0;73.06;34;50.0;675;1;10;11;12;0;0;0;6;1;0;0;0;0;68;0;198;7;4;25.0;22;51.16;12;10;6;0;6;0;1;0.0;0;0;;1;0;0;6.73;675;Jeyson Rojas;Colo Colo
3;8;2;46;58.97;30;57.69;5;83.33;29;1;82.82;76;58.46;1827;12;25;1;22;0;0;0;25;2;0;0;0;0;61;0;728;3;1;33.33;66;46.15;24;88;7;1;8;6;1;37.5;0;3;0.0;0;1;0;6.73;1827;Gary Kagelmacher;Universidad Católica
1;2;1;73;54.89;20;47.62;9;42.86;52;2;64.73;93;53.14;1574;12;28;11;26;0;0;0;20;3;0;0;0;0;85;0;334;8;9;21.95;42;35.59;19;47;11;0;12;2;2;8.33;0;1;0.0;0;0;0;6.73;1574;Oliver Rojas;Audax Italiano
0;7;0;56;61.54;32;64.0;2;100.0;45;0;79.23;88;62.41;1775;9;18;5;23;0;0;0;31;8;0;0;0;0;33;0;576;2;1;25.0;68;46.58;23;79;16;0;8;1;0;0.0;0;2;;0;0;0;6.73;1775;Franco Bechtholdt;Curicó Unido
0;2;1;58;59.79;20;60.61;18;62.07;23;3;71.29;78;60.0;1622;17;9;8;24;0;0;0;21;3;0;0;0;0;94;3;432;22;21;22.83;45;41.28;23;26;11;0;6;2;2;0.0;0;1;0.0;0;0;0;6.72;1622;Nicolás Fernández;Audax Italiano
0;5;1;90;58.82;27;67.5;19;61.29;52;3;75.47;117;60.62;2009;19;20;12;25;0;0;0;25;5;0;0;0;0;154;2;689;18;9;14.75;31;27.43;21;24;20;0;4;1;0;0.0;0;4;0.0;0;0;0;6.72;2009;Jovany Campusano;Ñublense
0;4;0;38;48.72;15;57.69;4;50.0;23;1;70.82;53;50.96;1299;12;12;9;24;0;0;0;22;3;0;0;0;0;76;3;381;24;21;32.81;56;42.75;27;49;16;0;8;1;1;0.0;0;0;0.0;0;0;1;6.72;1299;Byron Nieto;Universidad Católica
1;3;1;32;55.17;18;45.0;0;0.0;28;0;80.0;50;51.02;1143;4;14;3;15;0;0;0;22;2;0;0;0;0;41;0;376;6;0;0.0;33;54.1;17;68;9;0;3;1;0;33.33;0;3;0.0;0;0;0;6.71;1143;Manuel Fernández;Unión Española
0;0;0;31;65.96;2;66.67;6;46.15;19;0;76.02;33;66.0;366;6;4;3;8;0;0;0;7;1;0;0;0;0;36;0;130;8;8;53.33;6;27.27;8;1;2;0;0;0;0;0.0;0;0;;0;0;0;6.71;366;Vicente Fernández;Universidad de Chile
0;6;2;85;54.84;22;56.41;14;70.0;62;2;72.78;107;55.15;1756;9;36;8;25;0;0;0;23;1;0;0;0;0;121;3;500;14;5;16.13;33;39.29;28;54;21;0;9;1;3;0.0;0;1;0.0;0;0;0;6.71;1756;Leandro Díaz;Unión La Calera
1;4;0;33;50.0;36;59.02;2;50.0;21;0;74.88;69;54.33;1652;10;22;3;19;0;0;0;23;2;0;0;0;0;37;0;462;1;0;0.0;47;36.15;31;74;6;0;10;2;1;10.0;0;0;0.0;1;0;0;6.7;1652;Diego Carrasco;Coquimbo Unido
0;1;0;17;45.95;16;64.0;2;33.33;11;3;67.25;33;53.23;664;5;6;7;8;0;0;0;10;3;0;0;0;0;34;1;115;6;3;15.0;14;46.67;13;14;3;0;5;1;3;0.0;0;1;;0;0;0;6.7;664;Jens Buss;Deportes Copiapó
0;1;0;56;50.91;14;56.0;13;52.0;25;2;75.37;70;51.85;1996;18;17;12;29;0;0;0;23;2;0;0;0;0;165;2;606;15;16;18.18;41;41.0;24;22;13;0;12;2;4;0.0;0;3;0.0;0;0;0;6.7;1996;Joaquín Gutiérrez;Huachipato
0;0;0;8;57.14;1;50.0;1;33.33;3;0;65.0;9;56.25;196;4;1;3;3;0;0;0;1;0;0;0;0;0;7;0;39;2;0;0.0;2;66.67;2;4;0;0;0;0;0;0.0;0;1;;0;0;0;6.7;196;Nelson Guaiquil;Huachipato
0;1;0;24;54.55;8;61.54;6;100.0;12;0;77.97;32;56.14;855;6;12;1;18;0;0;0;11;1;0;0;0;0;47;0;315;2;1;50.0;37;50.0;9;40;7;0;3;1;0;0.0;1;0;0.0;0;0;0;6.69;855;Daniel González;Universidad Católica
0;2;0;24;55.81;8;66.67;5;62.5;16;0;79.65;32;58.18;567;3;11;2;14;0;0;0;8;3;0;0;0;0;19;0;180;3;0;0.0;26;54.17;12;28;3;0;3;1;0;0.0;0;0;;0;0;0;6.69;567;Axl Rios;Deportes Copiapó
0;1;0;9;47.37;9;90.0;1;100.0;8;0;72.05;18;62.07;400;0;5;1;5;0;0;0;7;0;0;0;0;0;21;0;116;1;0;0.0;5;20.83;7;5;5;0;1;0;0;0.0;0;0;;0;0;0;6.68;400;Ignacio Mesina;Coquimbo Unido
0;6;0;69;54.76;31;67.39;7;100.0;51;1;78.19;100;58.14;2508;11;27;5;28;0;0;0;34;4;0;0;0;0;216;1;993;11;4;13.33;68;34.69;41;81;27;0;8;3;2;0.0;0;0;0.0;0;0;0;6.68;2508;Marcelo Jorquera;Cobresal
0;2;0;90;53.89;25;51.02;15;48.39;56;1;69.25;115;53.24;2155;19;13;10;26;0;0;0;26;4;0;0;0;0;118;2;509;21;16;32.0;29;25.66;30;56;40;0;7;2;0;0.0;0;1;0.0;0;0;0;6.68;2155;Dylan Escobar;Coquimbo Unido
0;0;0;8;47.06;2;50.0;0;0.0;8;0;73.02;10;47.62;283;0;6;1;4;0;0;0;7;0;0;0;0;0;7;0;92;0;0;0.0;20;55.56;4;11;1;0;1;0;0;0.0;0;0;;0;0;0;6.68;283;Bastian Tapia;Audax Italiano
0;1;0;34;58.62;21;77.78;7;63.64;14;0;70.66;55;64.71;751;13;7;7;15;0;0;0;6;4;0;0;0;0;35;0;224;1;0;0.0;37;46.84;17;29;7;0;3;1;0;0.0;0;0;;0;0;0;6.67;751;Daniel Gutiérrez;Colo Colo
0;0;0;14;63.64;10;55.56;1;50.0;9;0;83.57;24;60.0;471;4;5;0;6;0;0;0;8;0;0;0;0;0;14;0;178;0;0;0.0;10;37.04;6;12;2;1;1;0;0;0.0;0;0;;0;0;0;6.67;471;Enzo Ferrario;Unión La Calera
2;5;1;35;67.31;18;64.29;1;25.0;20;1;77.5;53;66.25;1689;14;10;2;20;0;0;0;27;4;0;0;0;0;50;0;527;1;0;0.0;75;49.34;20;88;2;1;6;2;0;33.33;1;1;0.0;0;0;0;6.67;1689;Osvaldo Bosso;Audax Italiano
0;0;0;2;40.0;4;50.0;0;0.0;2;0;79.79;6;46.15;329;0;1;0;6;0;0;0;6;1;0;0;0;0;2;1;75;1;0;0.0;6;33.33;2;23;2;0;3;0;1;0.0;0;0;0.0;0;0;0;6.66;329;Cristian Toro;Cobresal
0;1;0;18;64.29;3;30.0;3;50.0;13;0;82.93;21;55.26;471;2;4;0;10;0;0;0;7;2;0;0;0;0;25;0;170;3;0;0.0;19;51.35;7;20;3;0;0;0;0;0.0;0;0;0.0;0;0;1;6.66;471;Vicente Vega;Everton de Viña del Mar
0;4;0;21;55.26;10;40.0;1;50.0;18;0;83.87;31;49.21;1043;2;5;4;20;0;0;0;14;1;0;0;0;0;21;0;312;4;0;0.0;36;63.16;26;38;7;1;4;0;1;0.0;0;0;0.0;0;1;0;6.66;1043;Valentín Vidal;Unión Española
1;6;0;35;39.33;8;50.0;8;47.06;16;2;69.76;43;40.95;1260;11;21;13;21;0;0;0;14;2;0;0;0;0;78;1;346;6;9;16.07;54;50.94;30;22;11;0;10;4;2;10.0;0;1;0.0;0;0;0;6.66;1260;Nicolás Baeza;Huachipato
1;4;1;53;54.64;17;35.42;3;42.86;39;1;67.29;70;48.28;1499;11;18;3;20;0;0;0;19;5;0;0;0;0;68;3;358;9;3;21.43;34;29.82;31;54;20;0;5;3;1;20.0;0;1;;0;0;0;6.66;1499;Agustín Ortíz;Deportes Copiapó
0;0;0;5;71.43;0;0.0;1;50.0;2;0;71.43;5;71.43;24;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;15;0;0;0.0;0;0.0;1;0;1;0;0;0;0;0.0;0;0;0.0;0;0;0;6.65;24;Daniel Navarrete;Universidad de Chile
0;3;2;63;61.76;9;33.33;13;59.09;35;0;72.39;72;55.81;1329;15;12;11;21;0;0;0;14;2;0;0;0;0;95;2;375;13;11;29.73;14;27.45;30;17;7;0;10;1;2;0.0;0;2;0.0;0;0;0;6.65;1329;Raimundo Rebolledo;Ñublense
1;5;0;45;59.21;14;35.9;2;40.0;23;0;72.49;59;51.3;1237;20;15;4;16;0;0;0;19;0;0;0;0;0;67;0;361;3;2;33.33;49;49.49;15;23;9;1;7;4;0;14.29;0;0;0.0;0;0;0;6.65;1237;Moisés González;O'Higgins
1;1;0;10;37.04;1;100.0;2;33.33;5;2;79.37;11;39.29;569;3;4;2;11;0;0;0;9;2;0;0;0;0;62;2;227;7;6;35.29;15;50.0;4;8;7;0;3;1;1;33.33;0;0;0.0;0;0;0;6.64;569;Cristopher Barrera;Coquimbo Unido
0;0;0;17;54.84;4;33.33;6;54.55;7;0;75.0;21;48.84;664;4;1;5;14;0;0;0;5;1;0;0;0;0;63;0;198;4;3;21.43;17;53.13;4;11;3;0;4;0;3;0.0;0;0;0.0;0;0;0;6.64;664;John Salas;Unión La Calera
0;4;1;23;46.94;22;53.66;1;50.0;20;1;81.9;45;50.0;1568;2;12;1;20;0;0;0;25;4;0;0;0;0;27;1;484;3;1;50.0;50;43.1;29;66;13;0;4;2;1;0.0;0;0;0.0;0;0;0;6.64;1568;Diego Céspedes;Cobresal
0;1;1;15;53.57;17;77.27;5;100.0;9;0;64.65;32;64.0;939;1;7;2;11;0;0;0;11;3;0;0;0;0;30;0;203;0;0;0.0;45;36.89;7;76;4;0;0;0;0;0.0;0;0;0.0;1;0;0;6.63;939;Nicolás Vargas;Deportes Copiapó
0;4;0;69;49.29;11;40.74;18;48.65;41;1;69.0;80;47.9;1987;10;15;18;28;0;0;0;28;3;0;0;0;0;154;0;512;24;22;25.0;49;38.58;24;38;20;0;10;3;3;0.0;0;1;0.0;0;0;0;6.63;1987;Esteban Matus;Audax Italiano
1;5;1;69;56.56;22;66.67;10;55.56;46;0;69.5;91;58.71;1248;13;21;13;22;0;0;0;27;6;0;0;0;0;95;0;351;8;7;25.93;33;40.24;21;37;12;0;6;3;0;16.67;0;1;;0;0;0;6.62;1248;Augusto Barrios;Curicó Unido
0;2;1;12;57.14;16;53.33;1;50.0;9;0;62.1;28;54.9;978;2;6;1;11;0;0;0;10;4;0;0;0;0;12;0;154;0;0;0.0;29;36.71;15;50;1;0;2;0;1;0.0;0;0;0.0;0;0;0;6.62;978;Sebastian Cardozo;Coquimbo Unido
0;7;0;31;63.27;2;66.67;2;50.0;20;0;77.55;33;63.46;748;9;11;3;19;0;0;0;11;1;0;0;0;0;49;0;228;6;1;10.0;16;43.24;9;17;3;0;1;0;1;0.0;0;0;;0;0;0;6.59;748;Roberto Cereceda;Audax Italiano
0;1;0;10;58.82;3;75.0;3;100.0;5;0;84.92;13;61.9;220;2;6;0;8;0;0;0;5;1;0;0;0;0;14;0;107;1;0;0.0;7;63.64;4;2;1;0;1;0;0;0.0;0;0;;0;0;0;6.59;220;Patricio Flores;Unión La Calera
0;0;0;14;40.0;7;70.0;2;20.0;6;1;74.17;21;46.67;333;6;3;6;8;0;0;0;4;1;0;0;0;0;24;0;89;4;1;14.29;9;47.37;9;5;4;0;3;2;0;0.0;0;1;;0;0;0;6.58;333;Juan Córdova;Ñublense
0;5;0;37;52.11;4;30.77;12;57.14;11;0;80.45;41;48.81;1232;14;8;12;26;0;0;0;14;2;0;0;0;0;184;1;469;10;5;13.89;32;44.44;14;15;7;0;6;0;1;0.0;0;2;;0;0;0;6.57;1232;Yonathan Andía;Universidad de Chile
0;3;2;24;52.17;6;66.67;1;50.0;20;0;75.16;30;54.55;779;3;11;6;10;0;0;0;9;1;0;0;0;0;49;0;233;3;5;23.81;12;26.09;8;15;4;0;2;0;1;0.0;0;1;;0;0;0;6.57;779;Ian Toro;Deportes Copiapó
0;2;0;19;55.88;8;50.0;0;0.0;15;0;78.7;27;54.0;563;4;7;6;10;0;0;0;8;3;0;0;0;0;21;0;266;1;0;0.0;27;42.19;9;23;4;1;4;0;1;0.0;0;0;0.0;0;0;0;6.57;563;Albert Acevedo;Deportes Magallanes
1;8;0;64;44.44;14;45.16;18;40.91;40;0;64.1;78;44.57;1466;6;28;13;25;0;0;0;18;2;0;0;0;0;83;1;350;9;12;20.0;18;21.43;20;29;14;1;11;3;1;9.09;0;2;0.0;0;0;0;6.57;1466;Cristian Riquelme;Everton de Viña del Mar
1;4;0;36;59.02;5;41.67;11;68.75;15;0;68.48;41;56.16;982;10;10;3;12;0;0;0;21;2;0;0;0;0;49;0;239;6;10;25.0;21;28.38;17;32;7;0;7;1;1;14.29;0;0;0.0;0;0;0;6.57;982;Sebastián Cabrera;Curicó Unido
0;3;1;22;46.81;20;48.78;5;100.0;12;0;74.1;42;47.73;1357;5;19;3;19;0;0;0;21;0;0;0;0;0;69;1;512;3;1;100.0;66;40.74;17;56;4;0;4;0;0;0.0;0;0;;0;0;0;6.55;1357;Juan Fuentes;O'Higgins
0;0;0;3;75.0;0;0.0;0;0.0;1;0;76.74;3;60.0;66;2;1;0;2;0;0;0;4;0;0;0;0;0;17;0;33;1;0;0.0;6;50.0;2;0;1;0;0;0;0;0.0;0;0;;0;0;0;6.55;66;Wilson Piñones;Deportes Copiapó
0;2;0;16;61.54;5;50.0;5;83.33;8;0;71.21;21;58.33;386;3;4;1;11;0;0;0;11;0;0;0;0;0;29;0;94;4;2;14.29;5;26.32;6;10;4;0;2;0;0;0.0;0;0;;0;0;0;6.55;386;Juan Contreras;Deportes Copiapó
0;1;0;29;58.0;12;54.55;6;54.55;13;0;64.48;41;56.94;611;10;2;4;11;0;0;0;11;1;0;0;0;0;29;1;118;4;3;12.0;14;40.0;9;15;10;1;3;1;0;0.0;0;1;0.0;0;0;0;6.53;611;David Tati;Deportes Copiapó
0;2;0;37;43.53;23;43.4;5;31.25;25;0;70.21;60;43.48;1358;7;15;9;19;0;0;0;18;5;0;0;0;0;88;1;337;8;6;15.79;31;37.35;14;40;14;0;7;2;1;0.0;0;1;0.0;0;0;0;6.53;1358;Matías Vasquez;Deportes Magallanes
0;1;1;25;52.08;10;55.56;3;42.86;13;1;64.06;35;53.03;607;9;8;4;12;0;0;0;6;3;0;0;0;0;26;1;123;5;3;21.43;10;26.32;5;17;8;0;1;0;1;0.0;0;0;0.0;0;0;0;6.52;607;Joaquin Gonzalez;Curicó Unido
0;0;0;0;0.0;0;0.0;0;0.0;0;0;33.33;0;0.0;12;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.0;0;0.0;1;0;0;0;0;0;0;0.0;0;0;;0;0;0;6.5;12;Iván Román;Palestino
0;0;0;4;50.0;2;100.0;0;0.0;2;0;68.0;6;60.0;57;2;0;1;3;0;0;0;1;0;0;0;0;0;5;0;17;0;0;0.0;2;50.0;0;2;1;0;1;0;0;0.0;0;0;;0;0;0;6.5;57;Gonzalo Jara;Coquimbo Unido
0;0;0;3;60.0;1;25.0;1;100.0;2;0;61.29;4;44.44;73;0;2;0;3;0;0;0;3;1;0;0;0;0;3;0;19;0;0;0.0;0;0.0;2;3;0;0;1;0;0;0.0;0;0;0.0;0;0;0;6.47;73;Matías Ormazábal;Curicó Unido
0;3;0;18;40.91;4;33.33;0;0.0;12;0;73.76;22;39.29;681;6;7;10;12;0;0;0;6;2;0;0;0;0;43;0;194;4;1;5.56;14;35.9;8;9;6;0;1;0;0;0.0;0;0;0.0;0;0;0;6.45;681;Marcelo Filla;Cobresal
0;1;0;6;33.33;6;60.0;1;25.0;5;0;70.51;12;42.86;199;0;3;5;5;0;0;0;2;0;0;0;0;0;17;0;55;1;0;0.0;2;16.67;0;4;1;1;2;2;0;0.0;0;1;;0;0;0;6.44;199;Felipe Yáñez;Coquimbo Unido
0;0;0;10;47.62;5;50.0;2;100.0;7;0;75.93;15;48.39;377;1;6;3;13;0;0;0;6;0;0;0;0;0;22;0;164;1;0;0.0;21;45.65;6;10;2;0;1;0;0;0.0;0;0;0.0;1;0;0;6.44;377;Renzo Malanca;Huachipato
0;0;0;16;66.67;7;58.33;1;50.0;13;0;67.02;23;63.89;328;2;2;2;6;0;0;0;10;0;0;0;0;0;18;0;63;1;1;50.0;14;56.0;4;9;4;0;1;0;0;0.0;0;3;;1;0;0;6.43;328;Darko Fiamengo;Curicó Unido
0;2;0;9;30.0;5;83.33;1;20.0;8;0;82.51;14;38.89;431;0;10;1;9;0;0;0;8;3;0;0;0;0;29;0;151;0;4;26.67;5;23.81;6;8;6;0;2;0;0;0.0;0;0;0.0;0;0;0;6.42;431;Nicolás Crovetto;Deportes Magallanes
0;0;0;7;38.89;1;25.0;3;37.5;1;0;51.35;8;36.36;142;3;0;3;4;0;0;0;3;0;0;0;0;0;7;0;19;0;0;0.0;2;50.0;2;0;3;0;1;1;0;0.0;0;0;;0;0;0;6.35;142;Levit Bejar;Coquimbo Unido
0;0;1;14;56.0;7;50.0;1;33.33;10;0;71.71;21;53.85;371;3;6;1;6;0;0;0;5;2;0;0;0;0;13;0;109;0;2;33.33;5;19.23;4;18;4;0;1;0;0;0.0;0;0;0.0;0;0;0;6.33;371;Diego Munoz;Curicó Unido
0;0;0;0;0.0;0;0.0;0;0.0;0;0;100.0;0;0.0;11;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0.0;0;0.0;0;1;0;0;0;0;0;0.0;0;0;;0;0;0;6.3;11;Cristobal Muñoz;Audax Italiano
0;2;1;35;46.05;18;51.43;7;46.67;19;0;68.07;53;47.75;1029;9;15;8;19;0;0;0;17;4;0;0;0;0;66;0;275;2;1;20.0;28;36.84;16;22;12;0;3;0;2;0.0;0;0;0.0;0;0;0;6.3;1029;Benjamín Rojas;Palestino
0;0;0;5;45.45;0;0.0;1;50.0;3;0;60.87;5;45.45;91;1;4;1;2;0;0;0;2;0;0;0;0;0;2;0;14;1;0;0.0;1;25.0;0;1;0;0;0;0;0;0.0;0;0;;0;0;0;6.1;91;Diego Sanhueza;Unión La Calera
0;1;0;1;33.33;1;100.0;1;100.0;0;0;71.43;2;50.0;53;0;1;0;5;0;0;0;2;0;0;0;0;0;0;0;15;0;1;100.0;0;0.0;1;4;1;0;0;0;0;0.0;0;0;0.0;0;0;0;6.08;53;Pedro Navarro;O'Higgins
0;1;0;11;52.38;0;0.0;2;50.0;5;0;73.02;11;50.0;180;4;3;5;3;0;0;0;4;3;0;0;0;0;10;0;46;0;0;0.0;6;50.0;0;3;0;0;2;0;0;0.0;0;0;;1;0;0;5.97;180;Alan Riquelme;Palestino
