goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
1;2;0;38;56.72;48;57.14;0;0.0;26;0;82.47;86;56.95;1996;12;13;4;23;0;0;0;26;6;0;0;0;0;92;0;1035;8;0;0.0;149;56.44;26;80;9;2;16;3;2;6.25;1;1;0.0;0;0;0;6.93;1996;Cristián Suárez;Palestino
0;7;0;102;57.3;13;43.33;25;55.56;52;6;68.4;115;55.29;1626;25;29;15;21;0;0;0;27;0;0;0;0;0;134;7;448;24;17;23.29;43;34.68;15;35;14;0;15;5;3;0.0;0;1;0.0;0;0;0;6.93;1626;Marcelo Morales;Universidad de Chile
1;6;0;74;63.79;34;54.84;5;100.0;52;0;82.28;108;60.67;2205;17;21;7;25;0;0;0;30;3;0;0;0;0;22;0;752;1;0;0.0;92;50.27;45;92;15;0;8;3;1;12.5;0;2;;0;0;0;6.92;2205;Francisco Alarcón;Cobresal
2;6;0;38;55.88;43;67.19;6;100.0;23;0;76.37;81;61.36;1675;9;27;1;20;0;0;0;19;3;0;0;0;0;47;0;627;1;0;0.0;73;40.11;42;95;5;0;13;4;1;15.38;1;1;0.0;0;0;0;6.92;1675;Diego González;O'Higgins
0;1;0;9;100.0;5;62.5;3;100.0;6;0;72.96;14;82.35;372;0;0;0;6;0;0;0;2;1;0;0;0;0;13;0;116;0;0;0.0;8;26.67;10;6;0;0;2;0;0;0.0;0;1;;0;0;0;6.92;372;Matías de los Santos;Colo Colo
1;1;0;8;72.73;11;73.33;1;100.0;6;0;76.87;19;73.08;480;1;3;0;6;0;0;0;9;0;0;0;0;0;12;0;113;2;0;0.0;19;48.72;10;23;0;0;2;1;0;50.0;0;0;;1;0;0;6.92;480;Bruno Cabrera;Coquimbo Unido
1;3;0;40;61.54;36;54.55;2;50.0;31;0;72.26;76;58.02;1158;7;11;1;17;0;0;0;15;1;0;0;0;0;37;2;409;3;0;0.0;52;38.81;30;51;13;0;16;4;4;6.25;1;0;0.0;0;0;0;6.91;1158;Lucas Abascia;Ñublense
0;3;0;21;51.22;24;64.86;5;71.43;14;1;80.99;45;57.69;960;2;8;5;12;0;0;0;11;1;0;0;0;0;39;0;345;3;1;33.33;31;50.82;17;31;5;0;3;0;0;0.0;0;0;0.0;0;0;0;6.91;960;Jose Bizama;Palestino
0;5;0;84;64.12;22;52.38;10;55.56;54;2;82.93;106;61.27;2006;20;18;5;24;0;0;0;28;3;0;0;0;0;159;3;763;20;14;36.84;58;50.88;27;64;18;1;9;0;3;0.0;0;2;0.0;0;0;0;6.9;2006;Felipe Espinoza;Deportes Magallanes
3;7;0;50;66.67;48;80.0;2;66.67;28;0;83.68;98;72.59;2051;20;18;2;27;0;0;0;30;7;0;0;0;0;67;0;1020;4;2;100.0;109;53.69;23;111;6;0;19;9;2;15.79;0;0;0.0;1;0;0;6.9;2051;Fernando Pinero;Deportes Magallanes
0;5;0;45;51.14;45;70.31;3;75.0;35;0;77.45;90;59.21;1800;7;31;9;22;0;0;0;16;4;0;0;0;0;57;0;673;1;0;0.0;89;47.34;27;68;4;2;16;1;4;0.0;4;1;0.0;0;0;0;6.9;1800;Ramiro González;Colo Colo
1;3;0;90;60.4;35;62.5;26;63.41;51;0;74.64;125;60.98;1936;13;15;15;23;0;0;0;23;2;0;0;0;0;179;3;665;14;15;24.19;49;35.25;23;51;16;0;8;4;2;12.5;0;0;0.0;0;0;0;6.9;1936;Dilan Zúñiga;Palestino
0;4;0;33;58.93;36;75.0;3;42.86;19;1;87.41;69;66.35;1688;11;11;4;23;0;0;0;23;3;0;0;0;0;45;1;701;5;1;20.0;64;66.67;36;68;5;1;5;2;0;0.0;0;2;0.0;0;0;0;6.89;1688;Branco Ampuero;Universidad Católica
0;7;1;51;59.3;17;56.67;10;71.43;29;0;79.52;68;58.62;1507;12;18;6;26;0;0;0;15;2;0;0;0;0;72;1;594;14;13;34.21;70;46.98;24;49;9;0;11;5;3;0.0;1;1;0.0;0;0;0;6.88;1507;Alfonso Parot;Universidad Católica
1;4;0;55;60.44;19;55.88;6;60.0;37;0;76.52;74;59.2;1651;12;10;8;20;0;0;0;18;3;0;0;0;0;78;0;554;7;1;25.0;85;49.71;26;42;15;0;18;4;3;5.56;0;0;0.0;0;0;0;6.87;1651;Brian Torrealba;O'Higgins
1;2;0;15;62.5;13;65.0;0;0.0;10;0;80.62;28;63.64;641;5;8;1;11;0;0;0;7;1;0;0;0;0;26;0;233;2;1;100.0;28;49.12;10;50;1;1;4;1;0;25.0;0;0;0.0;0;0;0;6.86;641;Fabián Torres;Audax Italiano
0;1;0;27;60.0;22;44.9;8;66.67;16;0;83.31;49;52.13;1806;3;6;3;22;0;0;0;22;1;0;0;0;0;48;0;734;0;0;0.0;105;58.99;31;76;5;1;3;2;1;0.0;0;0;0.0;0;0;0;6.86;1806;Julio Barroso;Everton de Viña del Mar
0;6;0;76;61.29;35;48.61;10;62.5;54;0;79.21;111;56.63;2061;12;17;10;26;0;0;0;22;2;0;0;0;0;83;0;758;4;2;40.0;68;40.24;20;87;15;1;8;4;2;0.0;0;2;0.0;0;0;0;6.86;2061;Jonathan Villagra;Unión Española
1;4;1;52;52.53;54;70.13;5;62.5;35;1;74.48;106;60.23;1747;12;28;1;21;0;0;0;17;1;0;0;0;0;54;0;575;5;1;50.0;68;43.87;23;78;15;1;9;5;1;11.11;0;0;0.0;0;0;0;6.85;1747;José Tiznado;Unión Española
2;5;2;43;50.59;39;62.9;4;57.14;32;1;74.77;82;55.78;1761;7;23;5;22;0;0;0;20;5;0;0;0;0;90;1;658;8;2;20.0;105;46.05;46;60;12;0;20;8;3;10.0;0;1;0.0;1;0;0;6.85;1761;Nicolás Zalazar;Ñublense
2;1;0;41;47.13;14;56.0;8;47.06;28;1;75.1;55;49.11;1543;5;19;11;20;0;0;0;18;1;0;0;0;0;157;2;555;14;12;29.27;41;37.96;23;28;7;0;12;4;2;16.67;0;1;0.0;0;0;0;6.85;1543;Erick Wiemberg;Colo Colo
1;7;1;39;58.21;52;74.29;1;33.33;31;0;72.73;91;66.42;1673;7;18;1;21;0;0;0;19;7;0;0;0;0;37;0;520;3;0;0.0;47;30.52;48;92;7;0;8;2;2;12.5;0;0;0.0;0;0;0;6.84;1673;Hernán Lópes;Unión La Calera
1;0;0;29;60.42;5;62.5;5;50.0;16;0;71.79;34;60.71;389;8;2;6;8;0;0;0;5;1;0;0;0;0;39;2;112;3;1;20.0;8;34.78;12;9;6;0;3;1;0;33.33;0;1;0.0;0;0;0;6.84;389;Pablo Cárdenas;Cobresal
0;1;0;13;68.42;3;42.86;5;100.0;3;0;68.24;16;61.54;241;5;2;2;3;0;0;0;3;0;0;0;0;0;16;0;58;1;2;33.33;10;45.45;9;1;2;0;1;0;0;0.0;1;0;;0;0;0;6.83;241;Ronald Guzmán;O'Higgins
0;4;1;45;62.5;53;70.67;6;85.71;33;0;75.77;98;66.67;1756;7;17;3;23;0;0;0;27;3;0;0;0;0;42;0;663;2;1;100.0;71;42.26;37;96;7;0;11;2;4;0.0;0;0;;0;0;0;6.83;1756;Nicolás Thaller;O'Higgins
