goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;player;team
0.33;0.29;0.0;2.87;39.55;0.98;38.71;1.07;39.39;0.33;0.16;66.73;3.85;39.33;90;1.48;1.02;1.39;1.02;0;0;0;1.02;0.2;0;0;0;0;5.94;0.41;13.81;1.52;0.33;24.24;0.74;42.86;0.12;0.66;0.45;0.25;3.69;0.9;0.86;8.89;0.12;0.61;0.0;0;0.0;0;7.04;Maximiliano Salas;Palestino
1.67;1.67;0.0;6.67;80.0;5.0;100.0;5.0;100.0;0.0;0.0;70.0;11.67;87.5;90;1.67;0.0;1.67;6.67;0;0;0;0.0;0.0;0;0;0;0;10.0;0.0;23.33;5.0;1.67;100.0;3.33;66.67;0.0;0.0;0.0;0.0;5.0;1.67;0.0;33.33;0.0;0.0;0.0;0;0.0;0;7.03;Martín Cárcamo;Everton de Viña del Mar
0.47;0.28;0.0;6.89;48.05;0.28;17.65;4.01;69.35;1.77;0.09;81.16;7.17;45.03;90;1.12;2.24;2.89;1.58;0;0;0;1.3;0.28;0;0;0;0;10.9;0.28;24.88;1.21;0.19;22.22;0.93;55.56;0.47;0.09;0.93;0.28;2.98;1.58;0.65;15.63;0.19;0.09;;0;0.0;0;6.99;Lautaro Pastrán;Everton de Viña del Mar
0.31;0.13;0.0;2.42;37.41;0.97;36.67;0.44;50.0;0.53;0.09;68.27;3.39;37.2;90;1.45;1.63;1.89;1.23;0;0;0;0.75;0.09;0;0;0;0;5.85;0.09;11.83;1.36;0.18;28.57;0.7;64.0;0.31;0.62;0.09;0.09;2.33;1.06;0.35;13.21;0.18;0.31;0.0;0;0.0;0;6.98;Maximiliano Rodríguez;Huachipato
0.25;0.0;0.0;5.72;49.19;0.63;33.33;1.89;47.62;1.95;0.19;70.75;6.35;46.98;90;1.89;0.69;1.82;1.26;0;0;0;0.94;0.19;0;0;0;0;7.73;0.19;19.61;1.26;0.82;29.55;0.57;36.0;0.63;0.44;1.45;0.13;2.64;1.19;0.63;9.52;0.0;0.19;0.0;0;0.0;0;6.96;Matías Cavalleri;Unión La Calera
0.0;0.0;0.0;4.96;57.45;0.55;33.33;2.39;72.22;1.1;0.18;85.96;5.51;53.57;90;1.47;0.92;1.65;1.47;0;0;0;0.55;0.0;0;0;0;0;13.04;0.0;28.1;1.47;0.18;12.5;2.2;85.71;0.0;0.37;0.18;0.18;2.57;0.55;0.92;0.0;0.0;0.0;0.0;0;0.0;0;6.95;Pablo Parra;Colo Colo
0.6;0.07;0.0;1.67;37.88;1.0;31.25;0.27;36.36;0.53;0.07;64.74;2.67;35.09;90;0.87;0.53;1.13;1.53;0;0;0;1.4;0.13;0;0;0;0;4.2;0.07;8.2;1.4;0.4;31.58;0.47;46.67;0.2;0.2;0.6;0.53;4.13;1.93;1.0;14.52;0.07;1.07;0.0;0;0.0;0;6.94;Cristian Palacios;Universidad de Chile
0.39;0.35;0.0;1.49;40.96;1.89;41.35;0.75;62.96;0.22;0.09;75.9;3.38;41.18;90;0.53;0.53;1.05;1.05;0;0;0;1.4;0.18;0;0;0;0;6.01;0.18;16.58;0.88;0.0;0.0;0.92;63.64;0.0;0.88;0.18;0.35;2.28;0.96;0.31;17.31;0.13;0.44;0.0;0;0.0;0;6.93;Cecilio Waterman;Cobresal
0.52;0.52;0.0;2.85;57.89;2.33;39.13;0.52;100.0;1.82;0.0;60.0;5.19;47.62;90;0.52;1.56;0.52;2.59;0;0;0;1.04;0.0;0;0;0;0;6.74;0.26;12.45;1.56;0.0;0.0;1.82;87.5;0.52;1.3;0.0;0.26;2.07;1.04;0.26;25.0;0.0;0.52;;0;0.0;0;6.92;Mateo Acosta;Huachipato
0.32;0.24;0.0;4.95;49.21;0.96;46.15;1.36;40.48;1.36;0.24;73.36;5.91;48.68;90;2.24;1.28;1.36;2.0;0;0;0;1.12;0.08;0;0;0;0;6.87;0.48;16.05;1.6;0.8;18.87;0.64;61.54;0.64;0.8;0.64;0.0;2.48;1.12;0.56;12.9;0.0;0.16;0.0;0;0.0;0;6.92;Gonzalo Tapia;Universidad Católica
0.2;0.2;0.0;3.32;46.36;0.39;30.0;1.11;56.67;0.52;0.13;69.92;3.71;43.85;90;1.69;0.72;1.95;1.43;0;0;0;1.17;0.07;0;0;0;0;9.12;0.07;22.4;2.21;1.24;31.15;1.24;47.5;0.2;0.2;0.52;0.13;2.21;0.78;0.78;8.82;0.0;0.46;0.0;0;0.0;0;6.91;Ismael Sosa;Ñublense
0.26;0.13;0.0;4.45;44.74;0.52;44.44;1.96;57.69;1.44;0.26;71.85;4.97;44.71;90;1.05;1.18;2.35;1.57;0;0;0;0.65;0.39;0;0;0;0;10.99;0.52;22.37;2.88;0.52;40.0;0.26;50.0;0.13;0.13;1.05;0.13;2.22;0.65;1.05;11.76;0.13;0.26;;0;0.0;0;6.91;Fabián Castillo;Colo Colo
0.41;0.16;0.04;2.04;38.17;2.04;44.25;0.33;44.44;0.29;0.12;63.92;4.08;40.98;90;1.47;1.96;0.9;1.06;0;0;0;1.14;0.16;0;0;0;0;4.69;0.04;11.06;1.1;0.08;22.22;0.49;46.15;0.2;0.53;0.29;0.37;2.94;0.98;0.53;13.89;0.04;1.06;0.0;0;0.0;0;6.9;Gonzalo Sosa;Audax Italiano
0.42;0.16;0.0;2.03;43.33;3.18;45.86;0.99;55.88;0.47;0.05;58.43;5.22;44.84;90;0.57;0.94;0.78;1.57;0;0;0;1.57;0.42;0;0;0;0;4.9;0.05;12.83;1.04;0.05;14.29;0.47;60.0;0.1;0.63;0.31;0.16;2.61;0.83;0.68;16.0;0.05;0.42;0.0;0;0.0;0;6.88;Diego Coelho;Curicó Unido
0.33;0.33;0.0;3.66;51.89;0.73;25.58;0.67;37.04;0.6;0.13;68.04;4.4;44.3;90;2.4;0.6;1.07;1.4;0;0;0;1.4;0.47;0;0;0;0;8.66;0.13;18.72;1.47;0.8;31.58;1.6;57.14;0.33;0.8;0.6;0.2;1.73;0.87;0.27;19.23;0.13;0.67;;0;0.0;0;6.87;Federico Castro;Curicó Unido
1.07;0.0;0.0;1.78;50.0;2.13;50.0;0.0;0.0;0.71;0.0;86.49;3.91;50.0;90;1.07;0.71;1.42;2.85;0;0;0;1.07;0.0;0;0;0;0;12.45;0.36;22.77;1.78;0.0;0.0;0.0;0.0;0.0;0.36;0.0;0.36;2.85;1.07;0.36;37.5;0.0;1.07;;0;0.0;0;6.86;Darío Lezcano;Colo Colo
0.32;0.47;0.0;2.13;38.03;5.36;55.28;0.39;29.41;0.47;0.24;63.88;7.49;48.97;90;1.26;1.65;0.95;1.89;0;0;0;1.26;0.16;0;0;0;0;7.72;0.08;18.68;1.42;0.08;20.0;0.39;62.5;0.16;0.79;0.16;0.47;3.78;1.26;0.63;8.33;0.0;0.87;0.0;0;0.0;0;6.83;Arnaldo Castillo;O'Higgins
0.28;0.28;0.09;4.41;42.73;1.22;35.14;1.78;59.38;1.41;0.09;68.6;5.63;40.82;90;1.22;0.94;3.47;1.31;0;0;0;1.03;0.09;0;0;0;0;9.28;0.47;18.84;1.31;0.28;21.43;0.75;44.44;0.09;0.0;0.38;0.28;2.81;0.94;0.94;10.0;0.0;0.09;;0;0.0;0;6.83;Bruno Barticciotto;Palestino
0.2;0.13;0.0;5.34;50.31;1.04;39.02;1.56;47.06;1.56;0.39;67.65;6.38;48.04;90;2.21;1.5;2.08;1.69;0;0;0;0.91;0.2;0;0;0;0;8.85;0.13;16.46;1.24;0.46;17.07;0.85;48.15;0.13;0.46;0.07;0.07;1.69;0.59;0.39;11.54;0.0;0.26;0.0;0;0.0;0;6.83;Marcos Bolados;Colo Colo
0.34;0.15;0.0;2.1;27.74;0.93;32.76;0.49;27.03;0.54;0.1;65.77;3.03;29.11;90;1.07;1.91;1.66;1.42;0;0;0;1.22;0.05;0;0;0;0;5.77;0.05;11.92;1.47;0.34;35.0;0.73;51.72;0.15;0.54;0.88;0.1;2.83;1.37;0.29;12.07;0.1;0.29;0.0;0;0.0;0;6.82;Matías Campos López;Everton de Viña del Mar
0.49;0.24;0.0;1.55;33.33;2.12;40.0;0.16;50.0;0.73;0.08;59.81;3.67;36.89;90;0.65;1.22;1.38;2.04;0;0;0;0.9;0.16;0;0;0;0;5.38;0.08;10.18;0.73;0.24;27.27;0.41;41.67;0.16;0.24;0.57;0.08;3.26;1.22;0.73;15.0;0.16;1.06;0.0;0;0.0;0;6.82;Leandro Benegas;Colo Colo
0.2;0.1;0.1;2.87;54.81;1.56;43.66;0.3;31.58;0.55;0.1;73.41;4.43;50.29;90;2.02;0.66;1.16;1.26;0;0;0;1.46;0.2;0;0;0;0;5.54;0.15;15.17;0.86;0.1;12.5;0.96;55.88;0.15;0.35;0.15;0.1;1.91;0.81;0.3;10.53;0.0;0.66;0.0;0;0.0;0;6.82;Felipe Flores;Deportes Magallanes
0.0;0.14;0.0;2.57;45.0;0.71;29.41;0.71;45.45;0.71;0.14;72.99;3.29;40.35;90;1.14;1.0;1.29;1.43;0;0;0;1.14;0.29;0;0;0;0;7.0;0.29;14.29;1.29;1.0;43.75;1.14;66.67;0.14;0.57;0.14;0.0;1.86;0.29;0.29;0.0;0.29;0.0;0.0;0;0.0;0;6.82;Jhonatan Candia;Audax Italiano
0.05;0.4;0.0;4.43;44.5;0.1;16.67;1.54;43.06;1.29;0.45;64.74;4.52;42.92;90;1.59;0.8;1.39;1.29;0;0;0;1.64;0.15;0;0;0;0;7.96;0.2;16.16;1.94;1.49;23.26;0.94;31.67;0.85;0.2;1.39;0.1;1.54;0.65;0.25;3.23;0.1;0.2;;0;0.0;0;6.82;Cristián Zavala;Curicó Unido
0.34;0.17;0.0;1.33;29.81;0.26;17.65;0.69;47.06;0.09;0.04;68.51;1.59;26.81;90;0.56;0.43;1.67;1.29;0;0;0;1.07;0.17;0;0;0;0;5.53;0.13;12.78;1.46;0.21;16.67;1.07;56.82;0.21;0.17;0.3;0.34;2.79;1.11;0.51;12.31;0.09;0.69;0.0;0;0.0;0;6.81;Maximiliano Quinteros;Deportes Copiapó
