goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;minutesplayed;player;team
1;1;0;32;45.71;2;14.29;8;44.44;10;3;78.07;34;40.48;825;14;13;10;13;0;0;0;10;0;0;0;0;0;87;2;178;29;15;34.09;15;53.57;2;5;6;0;16;3;6;6.25;0;0;0.0;0;0;0;6.98;825;Bryan Rabello;O'Higgins
0;4;1;105;60.69;24;45.28;13;68.42;46;5;78.37;129;57.08;2484;46;34;17;28;0;0;0;32;4;0;0;0;0;287;2;1196;25;15;38.46;81;48.8;43;44;15;0;28;3;8;0.0;0;0;0.0;0;0;0;6.98;2484;Benjamín Berríos;Everton de Viña del Mar
1;3;0;55;50.46;6;30.0;12;50.0;12;2;75.5;61;47.29;963;31;18;17;15;0;0;0;9;2;0;0;0;0;133;4;342;22;17;22.97;21;48.84;3;6;8;1;42;13;11;2.38;1;5;0.0;0;0;0;6.96;963;Juan Cuevas;Everton de Viña del Mar
1;8;1;93;55.03;3;30.0;18;75.0;45;0;81.68;96;53.63;1706;30;28;11;22;0;0;0;34;6;0;0;0;0;249;2;963;23;14;41.18;141;57.32;30;13;32;0;31;8;8;3.23;1;0;;0;0;0;6.96;1706;Mario Sandoval;Curicó Unido
0;5;2;73;52.9;25;52.08;11;73.33;49;1;85.18;98;52.69;2182;13;28;12;26;0;0;0;21;3;0;0;0;0;201;2;1167;10;0;0.0;117;64.29;45;60;23;1;11;1;3;0.0;0;0;0.0;0;0;0;6.96;2182;Claudio Sepúlveda;Huachipato
2;8;0;121;56.54;21;60.0;24;48.98;44;6;73.0;142;57.03;1727;53;43;15;28;0;0;0;20;3;0;0;0;0;167;5;530;22;13;21.67;48;52.17;26;16;15;0;17;8;3;11.76;0;2;0.0;0;0;0;6.94;1727;Cristian Cuevas;Universidad Católica
5;4;0;76;50.33;12;37.5;19;46.34;28;3;73.81;88;48.09;2118;29;19;18;30;0;0;0;25;6;0;0;0;0;221;5;479;48;33;20.0;16;27.59;16;2;18;2;36;16;8;13.89;2;11;0.0;0;0;0;6.94;2118;Bryan Carrasco;Palestino
2;3;0;67;63.21;8;42.11;21;65.63;22;5;74.9;75;60.0;1206;24;8;14;24;0;0;0;23;4;0;0;0;0;152;6;373;33;6;16.67;19;42.22;4;6;8;0;33;8;7;6.06;1;0;0.0;0;0;0;6.93;1206;Gabriel Hachen;Audax Italiano
3;3;0;63;44.37;2;33.33;16;42.11;14;6;68.45;65;43.92;1801;33;15;26;30;0;0;0;26;6;0;0;0;0;191;8;384;51;39;40.63;30;46.88;7;4;18;2;44;16;16;6.82;0;8;0.0;0;0;0;6.93;1801;Diego Buonanotte;Unión La Calera
5;1;0;110;47.01;23;44.23;42;49.41;30;2;80.37;133;46.5;1960;38;22;53;26;0;0;0;20;2;0;0;0;0;307;4;688;31;7;14.29;56;73.68;12;3;8;2;43;18;8;11.63;0;6;0.0;0;0;0;6.93;1960;Ariel Uribe;Unión Española
8;2;0;75;47.17;4;20.0;30;56.6;24;2;76.17;79;44.13;1430;21;14;36;24;0;0;0;21;4;0;0;0;0;123;3;310;19;6;20.0;16;53.33;11;12;11;0;38;16;10;21.05;0;2;0.0;0;0;0;6.92;1430;Gonzalo Ríos;Audax Italiano
0;3;0;38;46.91;17;60.71;3;50.0;31;4;82.75;55;50.46;1427;5;26;7;20;0;0;0;24;3;0;0;0;0;142;2;590;16;16;45.71;72;57.6;31;30;10;0;15;1;8;0.0;1;0;;0;0;0;6.92;1427;Brayan Rovira;Universidad Católica
0;2;0;29;60.42;10;47.62;2;40.0;20;1;83.59;39;56.52;1608;7;5;6;21;0;0;0;19;4;0;0;0;0;167;0;764;18;6;27.27;100;66.23;19;22;6;0;20;5;6;0.0;0;0;;0;0;0;6.91;1608;Marcelo Díaz;Audax Italiano
2;3;1;66;47.83;15;57.69;22;46.81;30;1;75.12;81;49.39;1059;14;14;12;16;0;0;0;16;1;0;0;0;0;109;5;305;26;17;26.15;24;63.16;12;5;22;1;17;2;7;11.76;0;2;;0;0;0;6.91;1059;Darío Osorio;Universidad de Chile
6;7;0;93;44.71;23;58.97;22;53.66;40;2;78.59;116;46.96;2094;31;33;36;27;0;0;0;23;5;0;0;0;0;287;4;734;37;9;21.95;56;59.57;18;19;27;3;38;18;7;15.79;2;0;0.0;1;1;1;6.9;2094;César Pérez;Unión La Calera
1;8;1;71;56.8;15;55.56;6;66.67;50;0;80.65;86;56.58;2293;15;26;10;26;0;0;0;20;5;0;0;0;0;270;0;871;14;2;22.22;97;63.82;29;20;17;1;36;5;15;2.78;1;0;0.0;0;0;0;6.9;2293;Esteban Pavez;Colo Colo
1;6;1;92;49.46;24;48.98;14;66.67;42;3;77.84;116;49.36;2117;36;30;28;28;0;0;0;21;2;0;0;0;0;291;4;938;28;15;23.44;90;52.63;37;16;31;1;31;6;11;3.23;1;2;0.0;0;0;0;6.89;2117;Jimmy Martínez;Huachipato
1;4;0;45;54.22;13;44.83;19;67.86;14;1;76.79;58;51.79;956;12;9;13;16;0;0;0;10;5;0;0;0;0;92;1;397;18;14;29.79;45;54.22;10;3;10;0;17;6;4;5.88;0;0;;0;0;0;6.89;956;Jorge Henríquez;Curicó Unido
