goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;rating;player;team
0.0;0.17;0.0;0.31;90.0;0.24;77.78;0.0;0;0.07;0;69.69;0.55;84.21;90;0.24;0.07;0.0;1.0;3.17;2.28;0.9;1.21;0.14;0.97;0.28;0.28;0.28;0.34;0;14.59;0.03;0;0;3.69;37.94;0.0;0.69;0.0;0;0.0;0.0;0;0;0.03;0.0;0.0;0.07;0.0;0;6.88;Franco Torgnascioli;Everton de Viña del Mar
0.0;0.1;0.0;0.2;50.0;0.2;100.0;0.1;100;0.1;0;64.48;0.41;66.67;90;0.0;0.1;0.0;1.02;2.86;1.84;1.02;0.72;0.2;0.92;0.2;0.41;0.31;1.23;0;17.08;0.0;0;0;6.03;39.07;0.0;0.72;0.1;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.86;Fernando de Paul;Colo Colo
0.0;0.21;0.0;0.25;58.33;0.32;75.0;0.0;0;0.04;0;51.12;0.57;66.67;90;0.18;0.04;0.0;1.0;3.18;1.79;1.39;1.18;0.14;0.5;0.18;0.32;0.18;2.29;0;12.21;0.04;0;0;8.36;42.01;0.04;0.71;0.14;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.83;Diego Sánchez;Coquimbo Unido
0.0;0.1;0.0;0.2;100.0;0.15;75.0;0.05;100;0.0;0;55.74;0.35;87.5;90;0.15;0.0;0.0;1.06;3.12;1.76;1.36;1.21;0.1;0.35;0.2;0.2;0.2;1.26;0;11.74;0.1;0;0;3.88;29.84;0.0;0.5;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.05;0.0;0;6.82;Cristóbal Campos Véliz;Universidad de Chile
0.0;0.07;0.0;0.33;100.0;0.4;100.0;0.27;100;0.0;0;63.64;0.73;100.0;90;0.07;0.0;0.0;1.0;2.87;1.67;1.2;1.27;0.2;0.87;0.13;0.8;0.13;0.8;0;14.93;0.0;0;0;6.2;42.86;0.0;0.93;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.07;0;6.81;Nicolás Peranic;Universidad Católica
0.0;0.0;0.05;0.2;66.67;0.25;83.33;0.0;0;0.0;0;78.29;0.45;75.0;90;0.2;0.05;0.0;1.04;2.38;1.34;1.04;0.84;0.15;0.74;0.25;0.2;0.25;1.24;0;25.37;0.0;0;0;6.24;48.28;0.05;0.55;0.05;0;0.0;0.0;0;0;0.0;0.0;0.0;0.05;0.0;0;6.79;Brayan Cortés;Colo Colo
0.0;0.16;0.0;0.61;93.75;0.29;87.5;0.04;100;0.08;0;65.65;0.9;91.67;90;0.49;0.0;0.0;1.02;3.56;1.96;1.59;1.51;0.33;0.41;0.2;0.61;0.2;1.88;0;18.51;0.04;0;0;7.4;43.72;0.0;1.31;0.04;0;0.0;0.0;0;0;0.0;0.0;;0.08;0.0;0;6.79;Fabián Cerda;Curicó Unido
0.0;0.08;0.0;0.2;83.33;0.12;100.0;0.0;0;0.04;0;68.86;0.32;88.89;90;0.16;0.0;0.04;1.0;2.84;1.76;1.08;1.08;0.2;0.32;0.04;0.32;0.04;1.24;0;16.36;0.08;0;0;4.92;40.46;0.04;0.64;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.08;0.0;0;6.76;Tomás Ahumada;Audax Italiano
0.0;0.11;0.04;0.53;73.68;0.38;90.91;0.08;100;0.08;0;63.42;0.9;80.0;90;0.45;0.04;0.04;1.02;2.22;1.51;0.72;1.02;0.19;1.02;0.15;0.45;0.15;1.66;0;16.21;0.04;0;0;5.39;36.86;0.0;0.75;0.11;0;0.0;0.0;0;0;0.0;0.0;0.0;0.04;0.0;0;6.72;Cesar Rigamonti;Palestino
0.0;0.75;0.0;0.5;66.67;0.5;100.0;0.25;100;0.0;0;76.99;1.0;80.0;90;0.25;0.25;0.0;1.0;2.75;2.25;0.5;1.75;0.25;1.0;0.25;0.5;0.25;2.25;0;21.75;0.0;0;0;6.0;48.98;0.0;1.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.68;Fernando Otárola;Unión La Calera
0.0;0.05;0.0;0.05;100.0;0.05;50.0;0.0;0;0.0;0;73.93;0.1;66.67;90;0.05;0.0;0.0;1.02;2.86;1.58;1.27;1.48;0.25;0.66;0.25;0.51;0.25;0.71;0;17.64;0.0;0;0;5.35;47.51;0.0;0.76;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.05;0;6.65;Gastón Rodríguez;Deportes Magallanes
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;42.86;0.0;0.0;90;0.0;0.0;0.0;1.0;3.0;3.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0;9.0;0.0;0;0;7.0;38.89;0.0;0.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.6;Miguel Pinto;Coquimbo Unido
0.0;0.21;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;62.96;0.0;0.0;90;0.0;0.0;0.0;1.05;2.63;1.16;1.47;1.68;0.0;0.74;0.0;0.21;0.0;0.42;0;12.53;0.0;0;0;2.74;27.37;0.0;0.74;0.11;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.53;Cristopher Toselli;Universidad de Chile
0.0;0.0;0.0;0.4;66.67;0.2;100.0;0.0;0;0.2;0;60.5;0.6;75.0;90;0.2;0.2;0.0;1.0;2.4;1.2;1.2;1.6;0.0;0.0;0.2;0.6;0.2;1.4;0;14.4;0.0;0;0;5.2;36.11;0.0;1.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.5;Alejandro Santander;Cobresal
0.0;0.5;0.0;0.5;66.67;0.0;0.0;0.0;0;0.0;0;66.67;0.5;50.0;90;0.5;0.25;0.0;1.0;1.5;1.25;0.25;1.25;0.0;0.5;0.0;0.25;0.0;3.25;0;16.0;0.25;0;0;7.75;50.82;0.0;0.75;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.48;Luis Ureta;O'Higgins
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;52.0;0.0;0.0;90;0.0;0.0;0.0;1.0;2.0;0.5;1.5;1.5;0.0;0.5;0.0;1.0;0.0;0.0;0;13.0;0.0;0;0;4.0;25.0;0.0;1.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.45;Diego Carreño;O'Higgins
0.0;0.0;0.0;1.67;100.0;0.0;0.0;1.67;100;0.0;0;42.11;1.67;100.0;90;0.0;0.0;0.0;1.67;5.0;5.0;0.0;3.33;0.0;1.67;0.0;0.0;0.0;0.0;0;13.33;0.0;0;0;10.0;35.29;0.0;0.0;0.0;0;0.0;0.0;0;0;0.0;0.0;;0.0;0.0;0;6.4;Alonso Montecinos;Unión Española
0.0;0.0;0.33;0.33;100.0;0.0;0.0;0.0;0;0.33;0;69.49;0.33;100.0;90;0.0;0.0;0.0;1.0;2.67;2.0;0.67;2.33;0.0;0.0;0.0;0.33;0.0;1.0;0;13.67;0.0;0;0;4.33;43.33;0.0;1.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;6.37;Juan Echave;Unión Española
0.0;0.0;0.0;0.0;0.0;0.29;100.0;0.0;0;0.0;0;58.97;0.29;50.0;90;0.0;0.29;0.0;1.14;2.29;1.14;1.14;2.0;0.29;0.57;0.0;1.14;0.0;0.86;0;13.14;0.0;0;0;4.0;31.11;0.0;1.14;0.0;0;0.0;0.0;0;0;0.0;0.0;;0.0;0.0;0;6.3;Gonzalo Collao;Palestino
0.0;0.34;0.0;0.0;0.0;0.23;66.67;0.0;0;0.0;0;64.88;0.23;50.0;90;0.0;0.0;0.0;1.02;2.61;1.82;0.68;2.27;0.34;0.57;0.34;0.11;0.34;1.59;0;15.09;0.0;0;0;6.24;43.31;0.0;0.68;0.11;0;0.0;0.0;0;0;0.0;0.0;0.0;0.11;0.0;0;6.17;Richard Leyton;Deportes Copiapó
0.0;0.2;0.0;0.4;100.0;0.4;100.0;0.0;0;0.0;0;65.63;0.8;100.0;90;0.4;0.0;0.0;1.0;1.6;1.0;0.6;2.2;0.0;0.2;0.0;1.0;0.0;0.6;0;16.8;0.0;0;0;4.2;33.87;0.0;1.0;0.0;0;0.0;0.0;0;0;0.0;0.0;;0.2;0.0;0;6.12;Joaquín Muñoz;Audax Italiano
0.0;1.5;0.5;0.0;0.0;0.5;100.0;0.0;0;0.0;0;68.97;0.5;50.0;90;0.0;0.5;0.0;1.0;3.0;3.0;0.0;3.0;1.0;1.0;0.0;1.0;0.0;2.5;0;20.0;0.0;0;0;7.5;45.45;0.0;1.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;5.7;Hernán Muñoz;Ñublense
