"player_name","position","minutes_played","national_team","team","foot","age","weight","height","challenges_won_percent_p90","accurate_crosses_percent_p90","x_g_expected_goals_p90","expected_assists_p90","defensive_challenges_won_percent_p90","ball_interceptions_p90","challenges_won_percent_p90_percentil","accurate_crosses_percent_p90_percentil","x_g_expected_goals_p90_percentil","expected_assists_p90_percentil","defensive_challenges_won_percent_p90_percentil","ball_interceptions_p90_percentil","score"
"Gabriel Martinelli","LM",1987,"Brazil","Arsenal","Right",20,75,176,0.38,0.2,0.24,0.27,0.41,3.08,0.29,0.32,0.71,0.86,0.57,0.68,0.221
"Yoane Wissa","LM",1415,"Congo DR","Brentford","Right",25,74,176,0.43,0.08,0.19,0.06,0.43,1.72,0.68,0,0.54,0.07,0.75,0.36,0.22
"J. Hernández","LM",1246,"-","Watford","Right",23,73,176,0.39,0.22,0.17,0.22,0.32,2.53,0.36,0.46,0.46,0.57,0.21,0.54,0.214
"Jacob Murphy","RM",1640,"-","Newcastle Utd.","Right",27,74,173,0.45,0.18,0.13,0.11,0.46,4.88,0.62,0.14,0.29,0.33,0.67,0.95,0.213
"Diogo Jota","LM",2526,"Portugal","Liverpool","Right",25,70,178,0.35,0.21,0.68,0.21,0.33,1.6,0.04,0.39,1,0.5,0.25,0.18,0.205
"Trincao","RM",1466,"-","Wolverhampton","Left",22,77,183,0.42,0.22,0.21,0,0.42,2.21,0.38,0.43,0.67,0,0.48,0.43,0.199
"A. Elanga","LM",1300,"Sweden","Man United","Right",20,0,178,0.39,0.22,0.16,0.14,0.42,3.05,0.36,0.46,0.32,0.39,0.68,0.64,0.199
"Heung-Min Son","LM",3187,"Korea Republic","Tottenham","Both",29,78,184,0.36,0.09,0.4,0.34,0.31,1.64,0.14,0.04,0.89,0.89,0.18,0.29,0.189
"Mason Greenwood","RM",1344,"England","Man United","Left",20,70,181,0.43,0.2,0.31,0.07,0.36,0.67,0.43,0.24,0.71,0.14,0.29,0,0.185
"Emiliano Buendia","RM",2066,"-","Aston Villa","Right",25,72,172,0.43,0.2,0.17,0.22,0.39,2.13,0.43,0.24,0.43,0.62,0.38,0.33,0.185
"Milot Rashica","LM",2366,"Kosovo","Norwich","Right",25,73,177,0.4,0.2,0.11,0,0.48,2.28,0.46,0.32,0.18,0,0.82,0.5,0.182
"Harvey Lewis Barnes","LM",2253,"England","Leicester","Right",24,66,182,0.35,0.18,0.28,0.12,0.36,1.68,0.04,0.29,0.82,0.32,0.32,0.32,0.161
"Bryan Mbeumo","RM",3121,"France U21","Brentford","Left",22,0,171,0.3,0.18,0.32,0.09,0.28,1.82,0,0.14,0.86,0.29,0.05,0.19,0.142
"Jack Harrison","LM",2848,"-","Leeds United","Left",25,70,175,0.38,0.15,0.15,0.06,0.42,3.16,0.29,0.14,0.29,0.07,0.68,0.71,0.118
"Daniel Owen James","RM",2687,"Wales","Leeds United","Right",24,76,171,0.36,0.09,0.2,0.07,0.42,1.64,0.19,0.05,0.57,0.14,0.48,0.14,0.113
"Ismaila Sarr","RM",1990,"Senegal","Watford","Right",24,76,185,0.35,0.17,0.19,0.14,0.35,2.17,0.1,0.1,0.52,0.43,0.24,0.38,0.111
"Marcus Rashford","LM",1330,"England","Man United","Right",24,70,185,0.32,0.11,0.16,0.07,0.27,1.62,0,0.07,0.32,0.14,0,0.25,0.058
